TRACK,MIN_LENGTH,MAX_LENGTH
Rust-VMM,1,4
Airship,3,5
API-SIG,1,2
Auto-scaling SIG,1,1
Barbican,2,5
Charms,3,5
Cinder,4,6
Cyborg,3,5
Docs I18n,2,2
Edge Computing Group,1,1
Extended Maintenance SIG,1,1
First Contact SIG,1,2
Glance,4,6
Heat,1,2
Horizon,1,2
Infrastructure,4,4
Interop WG RefStack,1,1
Ironic,3,5
K8s SIG,1,2
Kata Containers,3,4
Keystone,3,5
LOCI,1,1
Manila,3,4
Monasca,3,4
Neutron,4,6
Nova,6,6
Octavia,5,6
OpenStack Ansible,4,6
OpenStack QA,2,4
OpenStackClient,1,1
Oslo,1,2
Placement,2,4
Release Management,1,2
Requirements,1,2
Scientific SIG,1,2
Security SIG,1,1
Self-healing SIG,1,1
StarlingX,2,3
Swift,5,6
Tacker,2,4
TripleO,6,6
Vitrage,2,4
OpenStack Helm,4,6
Searchlight,1,2
Upgrade SIG,1,1
TC,2,2
QA,2,2
Fenix,1,2
